iter	Passed	Remaining
0	1	106
1	1	91
2	2	86
3	3	82
4	4	83
5	5	84
6	6	82
7	6	79
8	7	78
9	8	77
10	9	75
11	10	74
12	10	73
13	11	71
14	12	70
15	13	69
16	13	68
17	14	67
18	15	67
19	16	66
20	17	65
21	18	64
22	18	63
23	19	61
24	20	61
25	21	60
26	22	59
27	22	58
28	23	57
29	24	56
30	25	55
31	26	55
32	26	54
33	27	53
34	28	53
35	29	52
36	30	51
37	31	50
38	31	50
39	32	49
40	33	48
41	33	46
42	34	46
43	35	45
44	36	44
45	36	43
46	37	42
47	38	41
48	39	40
49	40	40
50	41	39
51	42	38
52	42	37
53	43	37
54	44	36
55	44	35
56	45	34
57	46	33
58	47	33
59	48	32
60	49	31
61	50	30
62	51	29
63	51	29
64	52	28
65	53	27
66	54	26
67	54	25
68	55	24
69	56	24
70	57	23
71	58	22
72	58	21
73	59	20
74	60	20
75	61	19
76	62	18
77	63	17
78	63	17
79	65	16
80	66	15
81	66	14
82	67	13
83	68	13
84	69	12
85	70	11
86	71	10
87	72	9
88	73	9
89	74	8
90	74	7
91	75	6
92	76	5
93	77	4
94	78	4
95	79	3
96	79	2
97	80	1
98	81	0
99	82	0
