iter	Passed	Remaining
0	146	146388
1	148	74183
2	150	50118
3	152	38076
4	155	30855
5	157	26067
6	159	22596
7	161	20003
8	163	18005
9	165	16402
10	167	15059
11	169	13974
12	171	13033
13	174	12263
14	176	11580
15	178	10964
16	180	10426
17	182	9972
18	184	9524
19	186	9128
20	188	8788
21	190	8475
22	192	8191
23	194	7905
24	196	7645
25	197	7408
26	199	7192
27	201	6991
28	203	6808
29	204	6625
30	206	6460
31	208	6300
32	209	6147
33	211	6012
34	213	5881
35	214	5753
36	216	5631
37	218	5529
38	219	5419
39	221	5317
40	223	5220
41	225	5133
42	226	5039
43	227	4951
44	229	4867
45	231	4793
46	232	4718
47	233	4640
48	235	4566
49	236	4501
50	238	4437
51	239	4371
52	241	4309
53	242	4255
54	244	4200
55	246	4148
56	247	4101
57	249	4049
58	251	4003
59	252	3956
60	254	3918
61	256	3877
62	257	3832
63	259	3789
64	260	3750
65	262	3712
66	264	3678
67	265	3639
68	267	3604
69	268	3567
70	269	3531
71	271	3495
72	272	3462
73	274	3430
74	275	3400
75	277	3373
76	278	3343
77	280	3313
78	281	3284
79	283	3255
80	284	3226
81	286	3203
82	286	3168
83	288	3143
84	289	3117
85	291	3099
86	293	3076
87	294	3052
88	296	3030
89	297	3007
90	298	2986
91	300	2964
92	301	2942
93	302	2920
94	304	2900
95	306	2882
96	307	2864
97	309	2844
98	310	2826
99	312	2810
100	313	2792
101	314	2772
102	316	2755
103	318	2740
104	319	2722
105	320	2705
106	322	2690
107	323	2675
108	325	2659
109	326	2644
110	328	2628
111	329	2613
112	331	2599
113	332	2584
114	333	2569
115	335	2555
116	336	2542
117	338	2530
118	339	2516
119	341	2502
120	342	2490
121	343	2474
122	345	2461
123	346	2448
124	347	2435
125	349	2424
126	350	2411
127	352	2401
128	354	2391
129	355	2381
130	357	2369
131	358	2357
132	359	2345
133	361	2336
134	362	2325
135	364	2314
136	365	2302
137	367	2296
138	369	2286
139	370	2277
140	372	2266
141	372	2253
142	374	2244
143	375	2234
144	377	2224
145	378	2214
146	380	2205
147	381	2196
148	383	2189
149	384	2180
150	386	2171
151	387	2164
152	389	2155
153	390	2147
154	392	2139
155	394	2132
156	395	2125
157	397	2120
158	399	2114
159	401	2109
160	402	2099
161	404	2093
162	406	2086
163	408	2080
164	409	2073
165	411	2067
166	413	2062
167	414	2054
168	416	2047
